# import 이름과 pip 패키지 이름이 다른 것. `모듈<TAB>패키지`. installImport 가 설치 줄과 대조할 때 쓴다.
# 같은 이름 (pandas, polars, duckdb) 은 적지 않는다. 출처는 각 패키지의 PyPI 페이지다.
sklearn	scikit-learn
cv2	opencv-python
PIL	pillow
yaml	pyyaml
bs4	beautifulsoup4
dotenv	python-dotenv
ibis	ibis-framework
dateutil	python-dateutil
attr	attrs
Crypto	pycryptodome
jwt	pyjwt
serial	pyserial
usb	pyusb
magic	python-magic
OpenSSL	pyopenssl
docx	python-docx
pptx	python-pptx
fitz	pymupdf
skimage	scikit-image
kiwipiepy	kiwipiepy
google	google-api-python-client
psycopg2	psycopg2-binary
MySQLdb	mysqlclient
lxml	lxml
Levenshtein	python-levenshtein
tflite_runtime	tflite-runtime
telebot	pytelegrambotapi
websocket	websocket-client
zmq	pyzmq
gi	pygobject
wx	wxpython
mpl_toolkits	matplotlib
pylab	matplotlib
